# key | doi   (written by tools/apply_verification.py from Crossref matches; do not type DOIs by hand)
maze2008prb | 10.1103/physrevb.78.094303
maze2011 | 10.1088/1367-2630/13/2/025025
mclellan2016 | 10.1021/acs.nanolett.5b05304
meiboom1958 | 10.1063/1.1716296
meijer2005 | 10.1063/1.2103389
michl2014 | 10.1063/1.4868128
millan2014 | 10.1109/cde.2013.6481400
mishra2008 | 10.1109/jproc.2007.911060
mizuochi2009 | 10.1103/physrevb.80.041201
mizuochi2012 | 10.1038/nphoton.2012.75
moazed1990 | 10.1063/1.346529
mokuno2009 | 10.1016/j.diamond.2009.04.005
motzoi2009 | 10.1103/physrevlett.103.110501
mouradian2015 | 10.1103/physrevx.5.031009
murphy1964 | 10.1109/proc.1964.3442
myers2014 | 10.1103/physrevlett.113.027602
myny2012 | 10.1109/jssc.2011.2170635
nava1980 | 10.1016/0038-1098(80)90447-0
naydenov2010 | 10.1063/1.3527975
nemoto2014 | 10.1103/physrevx.4.031022
neudeck2002 | 10.1109/jproc.2002.1021571
neudeck2016 | 10.1063/1.4973429
neudeck2019 | 10.1109/jeds.2018.2882693
neumann2008 | 10.1126/science.1157233
neumann2010natphys | 10.1038/nphys1536
neumann2010science | 10.1126/science.1189075
nickerson2014 | 10.1103/physrevx.4.041041
nyquist1928 | 10.1103/physrev.32.110
oforiokai2012 | 10.1103/physrevb.86.081406
ohno2012 | 10.1063/1.4748280
ohno2014 | 10.1063/1.4890613
ohtsuka1996 | 10.1143/jjap.35.l1072
oi2018 | 10.1038/s41598-018-28837-5
olson1993 | 10.1103/physrevb.47.14850
ovartchaiyapong2014 | 10.1038/ncomms5429
ozawa2017 | 10.7567/apex.10.045501
ozer2024 | 10.1038/s41586-024-07976-y
pearton2018 | 10.1063/1.5006941
pelgrom1989 | 10.1109/jssc.1989.572629
pernegger2005 | 10.1063/1.1863417
pernot2008 | 10.1063/1.2969066
pernot2010 | 10.1103/physrevb.81.205203
peruzzo2014 | 10.1038/ncomms5213
pezzagna2010 | 10.1088/1367-2630/12/6/065017
pezzagna2010small | 10.1002/smll.201000902
pezzagna2021 | 10.1063/5.0007444
pfender2017 | 10.1038/s41467-017-00964-z
pomeroy2014 | 10.1063/1.4865583
pompili2021 | 10.1126/science.abg1919
pop2010 | 10.1007/s12274-010-1019-z
preskill2018 | 10.22331/q-2018-08-06-79
prins1988 | 10.1103/physrevb.38.5576
rabeau2006 | 10.1063/1.2158700
rabi1937 | 10.1103/physrev.51.652
rabl2010 | 10.1038/nphys1679
ramsey1950 | 10.1103/physrev.78.695
randall2021 | 10.1126/science.abk0603
reggiani1981 | 10.1103/physrevb.23.3050
ren2017 | 10.1109/led.2017.2695495
riedel2017 | 10.1103/physrevx.7.031040
robledo2011 | 10.1038/nature10401
robledo2011njp | 10.1088/1367-2630/13/2/025013
romach2015 | 10.1103/physrevlett.114.017601
rondin2014 | 10.1088/0034-4885/77/5/056503
rong2015 | 10.1038/ncomms9748
